Wings,Price,Price/Wing,
4,4.55,1.1375,1.112
5,5.7,1.14,
6,6.8,1.133333333,
7,7.95,1.135714286,
8,9.1,1.1375,
9,10.2,1.133333333,
10,11.35,1.135,
11,12.5,1.136363636,
12,13.6,1.133333333,
13,14.75,1.134615385,
14,15.9,1.135714286,
15,17,1.133333333,
16,18.15,1.134375,
17,19.3,1.135294118,
18,20.4,1.133333333,
19,21.55,1.134210526,
24,27.25,1.135416667,
25,27.8,1.112,
26,28.95,1.113461538,
27,30.1,1.114814815,
28,31.2,1.114285714,
29,32.35,1.115517241,
30,33.5,1.116666667,
35,39.15,1.118571429,
40,44.8,1.12,
45,50.5,1.122222222,
50,55.6,1.112,
60,67,1.116666667,
70,78.3,1.118571429,
75,83.45,1.112666667,
80,89.1,1.11375,
90,100.45,1.116111111,
